time,kW
0:00,0.0
0:05,0.0
0:10,0.0
0:15,0.0
0:20,0.0
0:25,0.0
0:30,0.0
0:35,0.0
0:40,0.0
0:45,0.0
0:50,0.0
0:55,0.0
1:00,0.0
1:05,0.0
1:10,0.0
1:15,0.0
1:20,0.0
1:25,0.0
1:30,0.0
1:35,0.0
1:40,0.0
1:45,0.0
1:50,0.0
1:55,0.0
2:00,0.0
2:05,0.0
2:10,0.0
2:15,0.0
2:20,0.0
2:25,0.0
2:30,0.0
2:35,0.0
2:40,0.0
2:45,0.0
2:50,0.0
2:55,0.0
3:00,0.0
3:05,0.0
3:10,0.0
3:15,0.0
3:20,0.0
3:25,0.0
3:30,0.0
3:35,0.0
3:40,0.0
3:45,0.0
3:50,0.0
3:55,0.0
4:00,0.0
4:05,0.0
4:10,0.0
4:15,0.0
4:20,0.0
4:25,0.0
4:30,0.0
4:35,0.0
4:40,0.0
4:45,0.0
4:50,0.0
4:55,0.0
5:00,0.0
5:05,0.0
5:10,0.0
5:15,0.0
5:20,0.0
5:25,0.0
5:30,0.0
5:35,0.0
5:40,0.0
5:45,0.0
5:50,0.0
5:55,0.0
6:00,0.0
6:05,0.0
6:10,0.0
6:15,0.0
6:20,0.0
6:25,0.0
6:30,0.0
6:35,0.0
6:40,0.0
6:45,0.0
6:50,0.0
6:55,0.0
7:00,0.0
7:05,0.0
7:10,0.0
7:15,0.0
7:20,0.66
7:25,1.02
7:30,1.38
7:35,2.46
7:40,4.32
7:45,5.76
7:50,7.08
7:55,8.46
8:00,9.84
8:05,10.8
8:10,13.02
8:15,15.12
8:20,16.8
8:25,18.18
8:30,19.74
8:35,21.3
8:40,22.8
8:45,24.3
8:50,25.74
8:55,27.18
9:00,28.56
9:05,29.82
9:10,31.32
9:15,32.64
9:20,34.2
9:25,35.34
9:30,36.66
9:35,37.8
9:40,38.52
9:45,39.24
9:50,40.26
9:55,41.4
10:00,42.54
10:05,43.68
10:10,44.7
10:15,45.72
10:20,46.74
10:25,47.64
10:30,48.6
10:35,49.32
10:40,50.16
10:45,50.94
10:50,51.66
10:55,52.26
11:00,52.68
11:05,53.4
11:10,53.88
11:15,54.72
11:20,55.08
11:25,55.56
11:30,55.86
11:35,56.28
11:40,56.04
11:45,57.36
11:50,57.3
11:55,57.78
12:00,57.84
12:05,57.66
12:10,57.96
12:15,57.78
12:20,57.66
12:25,57.36
12:30,59.16
12:35,56.22
12:40,61.38
12:45,60.3
12:50,59.82
12:55,57.78
13:00,56.64
13:05,55.68
13:10,55.2
13:15,54.78
13:20,54.12
13:25,52.56
13:30,51.78
13:35,51.48
13:40,50.34
13:45,49.5
13:50,48.9
13:55,48.96
14:00,48.0
14:05,32.04
14:10,47.94
14:15,34.62
14:20,47.1
14:25,44.64
14:30,0.0
14:35,0.0
14:40,0.0
14:45,0.0
14:50,0.0
14:55,0.0
15:00,0.0
15:05,0.0
15:10,0.0
15:15,0.0
15:20,0.0
15:25,0.0
15:30,0.0
15:35,0.0
15:40,0.0
15:45,0.0
15:50,0.0
15:55,0.0
16:00,0.0
16:05,0.0
16:10,0.0
16:15,0.0
16:20,0.0
16:25,0.0
16:30,0.0
16:35,0.0
16:40,0.0
16:45,0.0
16:50,0.0
16:55,0.0
17:00,0.0
17:05,0.0
17:10,0.0
17:15,0.0
17:20,0.0
17:25,0.0
17:30,0.0
17:35,0.0
17:40,0.0
17:45,0.0
17:50,0.0
17:55,0.0
18:00,0.0
18:05,0.0
18:10,0.0
18:15,0.0
18:20,0.0
18:25,0.0
18:30,0.0
18:35,0.0
18:40,0.0
18:45,0.0
18:50,0.0
18:55,0.0
19:00,0.0
19:05,0.0
19:10,0.0
19:15,0.0
19:20,0.0
19:25,0.0
19:30,0.0
19:35,0.0
19:40,0.0
19:45,0.0
19:50,0.0
19:55,0.0
20:00,0.0
20:05,0.0
20:10,0.0
20:15,0.0
20:20,0.0
20:25,0.0
20:30,0.0
20:35,0.0
20:40,0.0
20:45,0.0
20:50,0.0
20:55,0.0
21:00,0.0
21:05,0.0
21:10,0.0
21:15,0.0
21:20,0.0
21:25,0.0
21:30,0.0
21:35,0.0
21:40,0.0
21:45,0.0
21:50,0.0
21:55,0.0
22:00,0.0
22:05,0.0
22:10,0.0
22:15,0.0
22:20,0.0
22:25,0.0
22:30,0.0
22:35,0.0
22:40,0.0
22:45,0.0
22:50,0.0
22:55,0.0
23:00,0.0
23:05,0.0
23:10,0.0
23:15,0.0
23:20,0.0
23:25,0.0
23:30,0.0
23:35,0.0
23:40,0.0
23:45,0.0
23:50,0.0
23:55,0.0
